type,pid,tid,splits,missing,overlaps,sequence_diff
old_vs_fixed,p62,t3,0.25,0.0,0.75,0.1875
old_vs_fixed,p62,t1,0.109375,0.09375,0.796875,0.36363636363636365
old_vs_fixed,p95,t2,0.0,0.0,1.0,0.42857142857142855
old_vs_fixed,p66,t2,0.02127659574468085,0.005319148936170213,0.973404255319149,0.5393258426966292
old_vs_fixed,p24,t3,0.0546448087431694,0.0546448087431694,0.8907103825136612,0.5625
old_vs_fixed,p66,t3,0.028077753779697623,0.012958963282937365,0.958963282937365,0.5626029654036244
old_vs_fixed,p62,t2,0.06779661016949153,0.05084745762711865,0.8813559322033898,0.6102941176470589
old_vs_fixed,p66,t1,0.011494252873563218,0.017241379310344827,0.9712643678160919,0.6517412935323383
old_vs_fixed,p24,t4,0.0228310502283105,0.0136986301369863,0.9634703196347032,0.658102766798419
old_vs_fixed,p79,t3,0.046875,0.0625,0.890625,0.6666666666666666
old_vs_fixed,p87,t1,0.0,0.08333333333333333,0.9166666666666666,0.6666666666666666
old_vs_fixed,p87,t2,0.0,0.0,1.0,0.6666666666666666
old_vs_fixed,p95,t3,0.0,0.0,1.0,0.6666666666666666
old_vs_fixed,p72,t2,0.016666666666666666,0.03,0.9533333333333334,0.6727272727272727
old_vs_fixed,p95,t4,0.03669724770642202,0.009174311926605505,0.9541284403669725,0.6811023622047244
old_vs_fixed,p91,t4,0.0,0.0,1.0,0.6875
old_vs_fixed,p24,t1,0.010796221322537112,0.005398110661268556,0.9838056680161943,0.6953807740324595
old_vs_fixed,p95,t1,0.0,0.0,1.0,0.696969696969697
old_vs_fixed,p91,t1,0.0,0.0,1.0,0.7017543859649122
old_vs_fixed,p67,t2,0.0056179775280898875,0.011235955056179775,0.9831460674157303,0.7067567567567568
old_vs_fixed,p80,t1,0.047619047619047616,0.047619047619047616,0.9047619047619048,0.7142857142857143
old_vs_fixed,p91,t3,0.0,0.0,1.0,0.7142857142857143
old_vs_fixed,p65,t3,0.01694915254237288,0.01694915254237288,0.9661016949152542,0.7153846153846154
old_vs_fixed,p24,t2,0.06476683937823834,0.018134715025906734,0.917098445595855,0.7185273159144893
old_vs_fixed,p28,t4,0.031209362808842653,0.0039011703511053317,0.9648894668400521,0.7201070791195717
old_vs_fixed,p93,t3,0.0,0.016666666666666666,0.9833333333333333,0.7213114754098361
old_vs_fixed,p10,t2,0.002145922746781116,0.0,0.9978540772532188,0.7319148936170212
old_vs_fixed,p52,t3,0.00228310502283105,0.0091324200913242,0.9885844748858448,0.7328767123287672
old_vs_fixed,p79,t2,0.010752688172043012,0.010752688172043012,0.978494623655914,0.7365591397849462
old_vs_fixed,p68,t3,0.004514672686230248,0.022573363431151242,0.9729119638826185,0.7404063205417607
old_vs_fixed,p88,t4,0.0,0.011627906976744186,0.9883720930232558,0.7412790697674418
old_vs_fixed,p43,t3,0.011686143572621035,0.01001669449081803,0.9782971619365609,0.7419093851132686
old_vs_fixed,p84,t3,0.0,0.012987012987012988,0.987012987012987,0.7435897435897436
